tradename,busloc,jobstatusdesc,licencetypes,comdistnm
PETRO CANADA MONTEREY PARK,#101 2220 68 ST NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES (NO SEATING)",MONTEREY PARK                           
PETRO CANADA NEIGHBOURS,1920 4 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES",MISSION                                 
PETRO CANADA NOLAN HILL,#800 8 NOLAN HILL BV NW CALGARY,Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",NOLAN HILL                              
PETRO CANADA PETRO PASS,215 MONUMENT PL SE CALGARY,Renewal Licensed,FUEL SALES/STORAGE,MERIDIAN                                
PETRO CANADA PETRO PASS,4022 OGDEN RD SE CALGARY,Pending Renewal,FUEL SALES/STORAGE,ALYTH/BONNYBROOK                        
PETRO CANADA VALIANT CAR WASH,4624 VALIANT DR NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES",VARSITY                                 
PETRO CANADA WILLOWRIDGE,9900 FAIRMOUNT DR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",WILLOW PARK                             
PETRO CHEMICAL BUILDING,805 8 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
PETRO FINA BUILDING,736 8 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
PETRO PASS REMINGTON,5215 61 AV SE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (SEATING)",FOOTHILLS                               
PETRO-CANADA CRANSTON,#7000 356 CRANSTON RD SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",CRANSTON                                
PETRO-CANADA SARCEE,4646 37 ST SW CALGARY,Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",RUTLAND PARK                            
PETRO-CANADA SOUTH TRAIL,7603 MACLEOD TR SW CALGARY,Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",KINGSLAND                               
PETROCRAFT PRODUCTS,2410C 2 AV SE CALGARY,Renewal Licensed,WHOLESALER,MAYLAND                                 
PETROFIELD INDUSTRIES ,#B 4207 OGDEN RD SE CALGARY,Renewal Licensed,MANUFACTURER,ALYTH/BONNYBROOK                        
PETRO-TECH HEAT TECHNOLOGY,8558 44 ST SE CALGARY,Renewal Licensed,"MANUFACTURER, WHOLESALER, CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",SOUTH FOOTHILLS                         
PETRO-TECH PRINTING,621 4 AV SW CALGARY,Renewal Licensed,MANUFACTURER,DOWNTOWN COMMERCIAL CORE                
PETROWEST,#800 407 2 ST SW CALGARY,Licensed,CONTRACTOR,DOWNTOWN COMMERCIAL CORE                
PETSLINK DISTRIBUTION ,5490 76 AV SE CALGARY,Renewal Licensed,WHOLESALER,GREAT PLAINS                            
PETSMART #1200,11694 SARCEE TR NW CALGARY,Pending Renewal,KENNEL SERVICE/PET DEALER,SHERWOOD                                
PETSMART #1201,#600 3221 SUNRIDGE WY NE CALGARY,Renewal Invoiced,"KENNEL SERVICE/PET DEALER, FOOD SERVICE - PREMISES",SUNRIDGE                                
PETSMART #2137,#81 4307 130 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MCKENZIE TOWNE                          
PETSMART #490,#7 321 61 AV SW CALGARY,Renewal Licensed,KENNEL SERVICE/PET DEALER,MANCHESTER INDUSTRIAL                   
PETVALU,#42 1221 CANYON MEADOWS DR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,DEER RIDGE                              
PETWA,#20 7503 35 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
PEXCOR,3615 32 ST NE CALGARY,Renewal Licensed,MANUFACTURER,HORIZON                                 
PEXCOR ,#E 4603 13 ST NE CALGARY,Renewal Licensed,MANUFACTURER,MCCALL                                  
PFANNTASTIC PANNENKOEK HAUS,#1 2439 54 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",NORTH GLENMORE PARK                     
PH3 SALON,#100 2909 17 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,KILLARNEY/GLENGARRY                     
PHAMTASTIC ESTHETICS & SPA,#218 1221 CANYON MEADOWS DR SE CALGARY,Renewal Licensed,PERSONAL SERVICE,DEER RIDGE                              
PHAMTASTIC NAILS,#3A 4624 VARSITY DR NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL), FOOD SERVICE - PREMISES",VARSITY                                 
PHAMTASTIC NAILS & SPA,#102 1002 37 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",ROSSCARROCK                             
PHAMTASTIC NAILS AND SPA (DOWNTOWN),855 8 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL)",DOWNTOWN COMMERCIAL CORE                
PHANTOM SCREENS,#101 5723 10 ST NE CALGARY,Renewal Licensed,"WHOLESALER, CONTRACTOR",DEERFOOT BUSINESS CENTRE                
PHARAOH'S GALLERY,1512 17 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNALTA                                 
PHARMACARE SPECIALTY PHARMACY #3,#101 708 11 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",BELTLINE                                
PHARMACY CARE,#3 5147 20 AV SE CALGARY,Expired,RETAIL DEALER - PREMISES,FOREST LAWN INDUSTRIAL                  
PHARMACY PLUS,5066 68 ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CORAL SPRINGS                           
PHARMASAVE ,#113 8555 SCURFIELD DR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SCENIC ACRES                            
PHARMX REXALL DRUG STORE ,1905 20 AV NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",BANFF TRAIL                             
PHARMX REXALL DRUG STORE #7259,#1A 290 MIDPARK WY SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",MIDNAPORE                               
PHARMX REXALL DRUG STORE #9806,#120 4448 FRONT ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SETON                                   
PHIA HAIR SALON AND ESTHETICS,#230 5701 17 AV SE CALGARY,Pending Renewal,"PERSONAL SERVICE (TATTOO), RETAIL DEALER - PREMISES",FOREST LAWN INDUSTRIAL                  
PHIDGETS ,#1 6115 4 ST SE CALGARY,Renewal Licensed,DISTRIBUTION MANAGER,MANCHESTER INDUSTRIAL                   
PHIL & SEBASTIAN COFFEE COMPANY,#1149 6455 MACLEOD TR SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",MEADOWLARK PARK                         
PHIL & SEBASTIAN COFFEE COMPANY,2043 33 AV SW CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",SOUTH CALGARY                           
PHIL & SEBASTIAN COFFEE COMPANY,#23 2701 16 ST SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,ALYTH/BONNYBROOK                        
PHIL & SEBASTIAN COFFEE COMPANY (CGY 388),#23 2701 16 ST SE CALGARY,Renewal Licensed,FOOD SERVICE - NO PREMISES,ALYTH/BONNYBROOK                        
PHIL & SEBASTIAN COFFEE ROASTERS,#140 2207 4 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",CLIFF BUNGALOW                          
PHIL & SEBASTIAN COFFEE ROASTERS,618 CONFLUENCE WY SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",DOWNTOWN EAST VILLAGE                   
PHILIP CHONG FLOWER BAR,3441 12 ST NE CALGARY,Renewal Licensed,MANUFACTURER,MCCALL                                  
PHILLIPS RENOVATIONS,4876 35 ST SE CALGARY,Renewal Licensed,CONTRACTOR,EASTFIELD                               
PHILOSAFY COFFEE,632 17 AV SW CALGARY,Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",BELTLINE                                
PHIL'S RESTAURANT,907 GLENMORE TR SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",KINGSLAND                               
PHILS RESTAURANT & PANCAKE HOUSE,3210 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",ALBERT PARK/RADISSON HEIGHTS            
PHILS RESTAURANT & PANCAKE HOUSE,2312 16 AV NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BANFF TRAIL                             
PHIL'S RESTAURANTS,#50 5000 64 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,FOOTHILLS                               
PHO 26,4019A 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
PHO 36,#7 135 WHITEFIELD DR NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",WHITEHORN                               
PHO 501 VIETNAMESE RESTAURANT,501 MCKNIGHT BV NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",GREENVIEW INDUSTRIAL PARK               
PHO 88,3713 17 AV SE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
PHO AN VIETNAMESE CUISINE,#2 8989 MACLEOD TR SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",HAYSBORO                                
PHO ANH,#14 400 CROWFOOT CR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ARBOUR LAKE                             
PHO ANH HUYEN NOODLE HOUSE,#3B 1403 CENTRE ST NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),CRESCENT HEIGHTS                        
PHO CHU THE,4633 MACLEOD TR SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ELBOYA                                  
PHO DAU BO,#110 4909 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN INDUSTRIAL                  
PHO EXPRESS,#2 4604 37 ST SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",RUTLAND PARK                            
PHO HA VIETNAMESE BEEF NOODLE HOUSE,#205 3545 32 AV NE CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SUNRIDGE                                
PHO HOAI VIETNAMESE BEEF HOUSE,#16 132 3 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),CHINATOWN                               
PHO HOAN,5020A 17 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),FOREST LAWN                             
PHO HOAN PASTEUR ROYAL OAK,#8108 8650 112 AV NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ROYAL VISTA                             
PHO HOANG VIETNAMESE RESTAURANT,1113 FALCONRIDGE DR NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),FALCONRIDGE                             
PHO HUONG VIET,3855 17 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",GLENDALE                                
PHO HUONG VIET,#145 1829 RANCHLANDS BV NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",RANCHLANDS                              
PHO K&B VIETNAMESE NOODLE HOUSE,806 CENTRE ST NE CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CRESCENT HEIGHTS                        
PHO KHA LE VIETNAMESE NOODLE HOUSE,#2 7337 SIERRA MORENA BV SW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SIGNAL HILL                             
PHO KIM RESTATURANT,1511 CENTRE B ST NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CRESCENT HEIGHTS                        
PHO KIM VY,#110 3830 BRENTWOOD RD NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",BRENTWOOD                               
PHO LYN VIETNAMESE CUISINE,#311 150 CROWFOOT CR NW CALGARY,Licensed,FOOD SERVICE - PREMISES (SEATING),ARBOUR LAKE                             
PHO MAI THY RESTAURANT,#25 6219 CENTRE ST NW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",THORNCLIFFE                             
PHO NAM,8302 FAIRMOUNT DR SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ACADIA                                  
PHO PASTEUR SAIGON RESTAURANT,#2 207 1 ST SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),CHINATOWN                               
PHO PHU HUONG,#36 55 CASTLERIDGE BV NE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",WESTWINDS                               
PHO PHUONG VI NOODLE HOUSE,1330A 16 AV NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CAPITOL HILL                            
PHO PHUONG VIETNAMESE CUISINE,#2 11625 ELBOW DR SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CANYON MEADOWS                          
PHO QUE HUONG NOODLE HOUSE,#628 999 36 ST NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
PHO QUE HUONG NOODLE HOUSE,#628 999 36 ST NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
PHO RANG DONG RESTAURANT,#10 4527 8 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
PHO SATE VIETNAMESE RESTAURANT,#512 8 NOLAN HILL BV NW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",NOLAN HILL                              
PHO SO 1,1609 CENTRE ST NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CRESCENT HEIGHTS                        
PHO SO 1,#14 240 MIDPARK WY SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",MIDNAPORE                               
PHO TAI NOODLE HOUSE,3168 SUNRIDGE BV NE CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SUNRIDGE                                
PHO THANH VIETNAMESE NOODLE HOUSE AND RESTAURANT,6630 4 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),HUNTINGTON HILLS                        
PHO VAN VIETNEMESE NOODLE HOUSE,#132 40 COUNTRY HILLS LD NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",COUNTRY HILLS                           
PHO XINH XINH,117 42 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",MANCHESTER                              
PHO XUAN RESTAURANT,#128 920 36 ST NE CALGARY,Renewal Invoiced,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",MARLBOROUGH                             
PHOENIX COMICS,1325A 9 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,INGLEWOOD                               
PHOENIX COMICS,2523B 17 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",RICHMOND                                
PHOENIX COMICS NW,1010 16 AV NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MOUNT PLEASANT                          
PHOENIX CONCRETE CUTTING & CORING,#6 4639 6 ST NE CALGARY,Renewal Licensed,CONTRACTOR,GREENVIEW INDUSTRIAL PARK               
PHOENIX CONTACT,#160 110 QUARRY PARK BV SE CALGARY,Expired,WHOLESALER,DOUGLASDALE/GLEN                        
PHOENIX EXPRESS VIETNAMESE RESTAURANT,#200 500 4 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",DOWNTOWN COMMERCIAL CORE                
PHOENIX FENCE,6204 2 ST SE CALGARY,Renewal Licensed,WHOLESALER,MANCHESTER INDUSTRIAL                   
PHOENIX GRILL,#335 16061 MACLEOD TR SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",SHAWNESSY                               
PHOENIX GRILL & LOUNGE,5620 SIGNAL HILL CE SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",SIGNAL HILL                             
PHOENIX METALS,4357 14 ST NE CALGARY,Renewal Licensed,MANUFACTURER,MCCALL                                  
PHOENIX NAILS & SPA,#1010 2060 SYMONS VALLEY PY NW CALGARY,Renewal Licensed,PERSONAL SERVICE,EVANSTON
PHOENIX PERSONAL FITNESS,#7 1111 3 ST SE CALGARY,Renewal Licensed,"PERSONAL SERVICE (MOBILE), FOOD SERVICE - PREMISES",BELTLINE                                
PHOENIX PUMP & COMPRESSOR,4860 28 ST SE CALGARY,Renewal Licensed,SECONDHAND DEALER,GOLDEN TRIANGLE                         
PHOENIX TIRE AND AUTO SERVICE,#180 32 WESTWINDS CR NE CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",WESTWINDS                               
PHOENIX WAREHOUSING & DISTRIBUTION,#1 3515 27 ST NE CALGARY,Renewal Licensed,WAREHOUSING,HORIZON                                 
PHONE EXPERTS (THE),#4 2616 16 ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALARM AGENCY, CONTRACTOR",SOUTH AIRWAYS                           
PHONE EXPERTS COMMUNICATIONS (THE),#3G 1200 37 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,ROSSCARROCK                             
PHONE FREAKS,#7 222 16 AV NE CALGARY,Expired,"RETAIL DEALER - PREMISES, SECONDHAND DEALER, ELECTRONIC REPAIR SHOP",TUXEDO PARK                             
PHONG TRAN FOOD,#16 920 28 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),FRANKLIN                                
PHOTO BASE CANADA,#192 225 7 AV SW CALGARY,Renewal Licensed,PHOTOGRAPHER,DOWNTOWN COMMERCIAL CORE                
PHU QUY RESTAURANT,3213 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SOUTHVIEW                               
PHU'S TAE KWON DO SCHOOL (C T T A),#619 3208 8 AV NE CALGARY,Renewal Licensed,"PERSONAL SERVICE, SCHOOL (PROV. NOT REQUIRED)",FRANKLIN                                
PHYL'S BEAUTY SALON,2013 18 ST NW CALGARY,Renewal Invoiced,PERSONAL SERVICE,BANFF TRAIL                             
PHYSIQUE FITNESS STORE,#A 626 MANITOU RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
PIANO GALLERY,#6 8989 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,HAYSBORO                                
PIAZZA WINE & SPIRITS,921 GENERAL AV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE, FOOD SERVICE - PREMISES",BRIDGELAND/RIVERSIDE                    
PIC ENGRAVERS & AWARDS ,#113 1289 HIGHFIELD CR SE CALGARY,Licensed,MANUFACTURER,HIGHFIELD                               
PICADITAS,414A MANITOU RD SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",MANCHESTER INDUSTRIAL                   
PICKFAIR MANOR,1224 CAMERON AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MOUNT ROYAL LOWER                       
PICKFORD GROUP (THE),519 MANITOU RD SE CALGARY,Pending Renewal,MANUFACTURER,MANCHESTER INDUSTRIAL                   
